,place_id,location,dataset
18389,road_75,"{'type': 'LineString', 'coordinates': [[-9.156132, 38.724187], [-9.15636, 38.724275], [-9.156692, 38.724382], [-9.156982, 38.724437], [-9.157257, 38.724441], [-9.157497, 38.724404], [-9.157707, 38.724337], [-9.158149, 38.724086], [-9.158578, 38.723802], [-9.158642, 38.723744], [-9.158653, 38.723685], [-9.158621, 38.723634], [-9.158413, 38.723526], [-9.158213, 38.723506]]}",waze
19665,road_76,"{'type': 'LineString', 'coordinates': [[-9.151323, 38.725401], [-9.153247, 38.725231]]}",waze
21890,road_77,"{'type': 'LineString', 'coordinates': [[-9.148663, 38.72314], [-9.149823, 38.724479]]}",waze
22549,road_78,"{'type': 'LineString', 'coordinates': [[-9.143447, 38.723379], [-9.143773, 38.723404], [-9.144294, 38.723381], [-9.145661, 38.723322]]}",waze
27437,road_79,"{'type': 'LineString', 'coordinates': [[-9.140347, 38.732264], [-9.139076, 38.732158], [-9.138107, 38.732076], [-9.137989, 38.73204]]}",waze
36246,road_80,"{'type': 'LineString', 'coordinates': [[-9.144856, 38.728212], [-9.144046, 38.727324], [-9.143269, 38.726458]]}",waze
41468,road_81,"{'type': 'LineString', 'coordinates': [[-9.148897, 38.727556], [-9.149714, 38.726226]]}",waze
49989,road_82,"{'type': 'LineString', 'coordinates': [[-9.160605, 38.725879], [-9.160248, 38.725496], [-9.160073, 38.725195], [-9.159958, 38.724851], [-9.159952, 38.724727], [-9.159993, 38.724627], [-9.160056, 38.724535], [-9.160194, 38.724397]]}",waze
50973,road_83,"{'type': 'LineString', 'coordinates': [[-9.15126, 38.716467], [-9.150956, 38.71693], [-9.150586, 38.717479]]}",waze
51163,road_84,"{'type': 'LineString', 'coordinates': [[-9.147628, 38.729057], [-9.14749, 38.729067], [-9.146381, 38.728653]]}",waze
51671,road_85,"{'type': 'LineString', 'coordinates': [[-9.155191, 38.719877], [-9.154558, 38.720016], [-9.154222, 38.720111], [-9.153252, 38.720677]]}",waze
51835,road_86,"{'type': 'LineString', 'coordinates': [[-9.156582, 38.722735], [-9.156563, 38.722666], [-9.157101, 38.722175]]}",waze
51889,road_87,"{'type': 'LineString', 'coordinates': [[-9.141381, 38.731641], [-9.142415, 38.731389], [-9.143894, 38.731023]]}",waze
